gnome-perl 1.045-3
gnome-python 2.28.1-9
gnome-python-extras 2.25.3-13
gnome-themes-standard 3.20-1
gnome-vfs 2.24.4-9
gnome-vfs-perl 1.082-3
gnomecanvas-perl 1.002-13
gnu-netcat 0.7.1-5
gnupg 2.1.12-1
gnutls 3.4.11-2
go 2:1.6.2-2
gobject-introspection 1.48.0-1
gobject-introspection-runtime 1.48.0-1
goffice 0.10.28-1
goocanvas1 1.0.0-3
gparted 0.26.0-1
gperf 3.0.4-7
gpgme 1.6.0-2
gpgmepp 16.04.1-1
gpm 1.20.7-6
gptfdisk 1.0.1-2
grantlee-qt4 0.5.1-3
graphene 1.2.10-1
graphicsmagick 1.3.23-2
graphite 1:1.3.8-1
grep 2.25-1
groff 1.22.3-6
grub 1:2.02.beta2-6
gsettings-desktop-schemas 3.20.0-1
gsfonts 20150811-1
gsl 2.1-1
gsm 1.0.14-1
gspell 1.0.1-1
gst-libav 1.8.1-1
gst-plugins-bad 1.8.1-1
gst-plugins-base 1.8.1-1
gst-plugins-base-libs 1.8.1-1
gst-plugins-good 1.8.1-1
gst-plugins-ugly 1.8.1-1
gstreamer 1.8.1-1
gstreamer0.10 0.10.36-4
gstreamer0.10-bad 0.10.23-15
gstreamer0.10-bad-plugins 0.10.23-15
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-ffmpeg 0.10.13-2
gstreamer0.10-good 0.10.31-10
gstreamer0.10-good-plugins 0.10.31-10
gstreamer0.10-python 0.10.22-2
gstreamer0.10-ugly 0.10.19-16
gstreamer0.10-ugly-plugins 0.10.19-16
gtk-doc 1.25-1
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-2
gtk-update-icon-cache 3.20.4-2
gtk-xfce-engine 2.10.1-1
gtk2 2.24.30-2
gtk2-perl 1.2498-1
gtk3 3.20.4-2
gtkglext 1.2.0-10
gtkimageview 1.6.4-4
gtkmathview 0.8.0-5
gtkmm 2.24.4-2
gtkmm3 3.20.1-1
gtksourceview2 2.10.5-3
gtksourceview3 3.20.3-1
gtkspell 2.0.16-3
gucharmap 8.0.0-1
guile 2.0.11-3
gutenprint 5.2.11-3
gv 3.7.4-3
gvfs 1.28.2-1
gvfs-afc 1.28.2-1
gvfs-gphoto2 1.28.2-1
gvfs-smb 1.28.2-1
gzip 1.8-1
hardening-wrapper 10-1
harfbuzz 1.2.7-1
harfbuzz-icu 1.2.7-1
hdf5 1.10.0-1
hdparm 9.48-1
heimdall 1.4.1-2
hicolor-icon-theme 0.15-1
hplip 3.16.5-1
hspell 1.3-1
htop 2.0.1-1
http-parser 2.7.0-1
hunspell 1.3.4-1
hwids 20160306-1
hyphen 2.8.8-1
i3-wm 4.12-1
i3lock 2.7-1
i3status 2.10-1
iana-etc 20160314-1
icon-naming-utils 0.8.90-3
icoutils 0.31.0-1
icu 57.1-1
idnkit 1.0-3
ilmbase 2.2.0-2
imagemagick 6.9.4.0-1
imake 1.0.7-1
imlib2 1.4.9-1
inetutils 1.9.4-2
inkscape 0.91-18
inputproto 2.3.2-1
intel-tbb 4.4_20160128-1
intltool 0.51.0-1
iproute2 4.5.0-2
iptables 1.6.0-1
iputils 20160308.0db72a4-1
iso-codes 3.68-1
itstool 2.0.2-1
iw 4.3-1
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-15
java-environment-common 2-2
java-runtime-common 2-2
java-rxtx 2.2pre2-2
jbig2dec 0.12-1
jdk7-openjdk 7.u101_2.6.6-1
jdk8-openjdk 8.u92-1
jemalloc 4.1.1-1
jfsutils 1.1.15-4
jhead 3.00-2
jpegoptim 1.4.3-2
jq 1.5-3
jre7-openjdk 7.u101_2.6.6-1
jre7-openjdk-headless 7.u101_2.6.6-1
jre8-openjdk 8.u92-1
