a2ps 4.14-7
mirage 0.9.5.2-4
mist-icon-theme 2.32.1-4
mlocate 0.26-5
mousepad 0.4.0-2
mp3wrap 0.5-4
mplayer 37857-1
mupdf 1.9_a-3
mypaint 1.2.0-3
mysql-python 1.2.5-1
nano 2.5.3-2
netctl 1.11-1
nmap 7.12-1
nss-mdns 0.10-6
ntfs-3g 2016.2.22-1
ntp 4.2.8.p7-1
numix-themes 2.5.1.r233.a6be634-1
numlockx 1.2-3
nvidia-340xx 340.96-12
nvidia-340xx-libgl 340.96-1
nvidia-340xx-lts 340.96-7
octopi-git 20140902.fae6b51-1
opencl-headers12-svn 1:1.2.r32371-1
openshot 1.4.3-6
openssh 7.2p2-1
orage 4.12.1-3
os-prober 1.71-1
p7zip 15.14.1-1
packer 20150808-1
packer-color 20150808-1
pacman 5.0.1-3
pal 0.4.3-6
pangox-compat 0.0.2-2
parole 0.8.1-3
patch 2.7.5-1
pcal 4.11.0-3
pciutils 3.4.1-1
pcmciautils 018-7
pencil2d-git 1329.817fb84-1
perl 5.22.2-1
perl-module-pluggable 5.2-1
perlbrew 0.75-1
photoqt 1.3-3
php 7.0.6-3
php-apache 7.0.6-3
php-apcu 5.1.3-1
php-cgi 7.0.6-3
php-docs 7.0.1-1
php-embed 7.0.6-3
php-enchant 7.0.6-3
php-fpm 7.0.6-3
php-gd 7.0.6-3
php-imagick 3.4.0rc4-1
php-intl 7.0.6-3
php-mcrypt 7.0.6-3
php-mssql 5.6.16-3
php-odbc 7.0.6-3
php-pear 1:1.10.1-1
php-pgsql 7.0.6-3
php-snmp 7.0.6-3
php-tidy 7.0.6-3
php-uploadprogress 1.0.3.1-1
php-xcache 3.2.0-2
php-xsl 7.0.6-3
phpmyadmin 4.6.1-1
pkg-config 0.29.1-1
pkgstats 2.3-6
pkgtools 25-5
poppler 0.42.0-1
poppler-glib 0.42.0-1
poster 20060221-2
posterazor-qt5 1.9.5-2
potrace 1.13-1
procps-ng 3.3.11-2
psmisc 22.21-3
pstoedit 3.70-3
pulseaudio 8.0-3
pulseaudio-alsa 2-3
pv 1.6.0-2
pychess 0.12.3-2
python-aniso8601 1.1.0-1
python-flask-restful 0.3.4-3
python-lxml 3.6.0-1
python-mock 1.3.0-3
python-pillow 3.2.0-1
python-pip 8.1.1-1
python-plumbum 1.5.0-1
python-pygame-hg r3411.7b227f4892f2-1
python-pyqt4 4.11.4-4
python-pytest 2.9.1-1
python-reportlab 3.3.0-1
python-virtualenv 15.0.1-1
python-virtualenvwrapper 4.7.1-2
python2-flask-restful 0.3.4-3
python2-mock 1.3.0-3
python2-mysql-connector 2.1.3-1
python2-notify2 0.3-1
python2-numpy 1.11.0-1
python2-pip 8.1.1-1
python2-plumbum 1.5.0-1
python2-pygame 1.9.1-10
python2-pyqt4 4.11.4-4
python2-pytest 2.9.1-1
python2-reportlab 3.3.0-1
python2-setuptools 1:21.0.0-1
python2-virtualenv 15.0.1-1
pythoncad r38.alpha4-1
qcomicbook-git 0.8.2.85.g2b1748f-1
qiv 2.3.1-2
qt-recordmydesktop 0.3.8-7
quiterss 0.17.6-1
rawdog 2.21-2
recordmydesktop 0.3.8.1-7
reiserfsprogs 3.6.24-1
remarkable 0.965-3
rfkill 0.5-1
ristretto 0.8.0-1
rssh 2.3.4-1
rsync 3.1.2-1
ruby 2.3.1-1
rxvt-unicode-patched 9.21-3
s-nail 14.8.8-1
scalpel 2.0-1
screen 4.3.1-4
screenfetch 3.7.0-1
scribus 1.4.6-2
scrot 0.8.13-1
sed 4.2.2-3
shadow 4.2.1-3
shimmer-wallpapers 1.0-4
shutter 0.93.1-2
simple-scan 3.20.0-1
simplescreenrecorder 0.3.6-4
sk1 0.9.3-3
sl 5.02-4
slop 4.3.21-2
smartmontools 6.4-2
smplayer 16.4.0-3
smplayer-themes 1:15.12.0-1
sozi 13.11-1
speedcrunch 0.11-3
splix 2.0.0-13
squashfs-tools 4.3-4
sudo 1.8.16-1
synfigstudio 1.0.2-4
sysfsutils 2.1.0-9
system-config-printer 1.5.7-2
systemd-numlockontty 0.1-11
systemd-sysvcompat 229-3
tar 1.28-1
tcpdump 4.7.4-1
tcsh 6.19.00-3
tea 41.1.1-1
terminator 0.98-1
terminus-font 4.40-2
testdisk 7.0-3
texinfo 6.1-3
texlive-bin 2015.37497-12
texlive-core 2015.38835-1
texlive-latexextra 2015.38831-1
tgif 4.2.5-6
thunar 1.6.10-3
thunar-archive-plugin 0.3.1-6
thunar-media-tags-plugin 0.2.1-2
thunar-volman 0.8.1-2
timeset-gui 2.2-1
tk 8.6.4-1
toilet 0.3-1
tpp 1.3.1-3
transfig 3.2.5e-1
transmission-gtk 2.92-1
tree 1.7.0-1
ttf-dejavu 2.35-1
ttf-google-fonts-git 20160222-1
ttf-liberation 2.00.1-6
ttf-ms-fonts 2.0-10
tumbler 0.1.31-1
unrar 1:5.3.11-1
unzip 6.0-12
urxvt-perls 2.2-1
urxvt-tabbedex-git 0.4.r9.g49c1514-1
usbutils 008-1
util-linux 2.28-1
vagrant 1.8.1-1
vcs 1.13.2-1
vcsi 4-2
vertex-themes 20160329-2
vi 1:070224-2
vim 7.4.1797-1
virtualbox 5.0.20-1
virtualbox-guest-iso 5.0.20-1
virtualbox-host-dkms 5.0.20-1
vlc 2.2.3-2
vokoscreen-git 2.4.1.beta.r1.g1bd15fa-1
wacom-udev 20140121-1
webmin 1.680-1
when 1.1.35-1
which 2.21-1
whois 5.2.11-1
wine 1.9.9-2
wine-mono 4.6.2-1
wine_gecko 2.44-1
winetricks 20160425-1
wireshark-cli 2.0.3-1
wireshark-gtk 2.0.3-1
wxgtk2.8 2.8.12.1-4
x2goclient 4.0.5.1-2
xame 3.0-1
xcftools 1.0.7-3
xclip 0.12.git.20160201-1
xcursor-neutral 1.13a-7
xcursor-vanilla-dmz 0.4.4-1
xdg-user-dirs 0.15-4
xdotool 3.20150503.1-1
xf86-input-keyboard 1.8.1-2
xf86-input-mouse 1.9.1-2
xf86-input-synaptics 1.8.3-2
xf86-input-wacom 0.32.0-1
xfburn 0.5.4-3
xfce-theme-albatross 1.7.4-1
xfce-theme-bluebird 1.2-3
xfce-theme-greybird 1.6.2-2
xfce4-appfinder 4.12.0-4
xfce4-artwork 0.1.1a_git20110420-4
xfce4-battery-plugin 1.0.5-5
xfce4-clipman-plugin 1.2.6-3
xfce4-cpufreq-plugin 1.1.2-2
xfce4-cpugraph-plugin 1.0.5-4
xfce4-datetime-plugin 0.6.2-4
xfce4-dict 0.7.1-2
xfce4-diskperf-plugin 2.5.5-1
xfce4-eyes-plugin 4.4.4-2
xfce4-fsguard-plugin 1.0.2-5
xfce4-genmon-plugin 3.4.0-3
xfce4-mailwatch-plugin 1.2.0-7
